agent_path,black,white,total_wins
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,81,76,157
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4,67,88,155
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-51-group-1-118-group-2,70,85,155
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0,73,81,154
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-2-15-group-0,72,82,154
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3,71,82,153
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-59-group-1-118-group-2,67,86,153
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,71,80,151
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0-51-group-1-51-group-2-55-group-3,77,74,151
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-1-15-group-0-70-group-1,70,80,150
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/3_256_conv/2024-06-25_01-29-44_ppo-0-15-group-0,68,81,149
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-118-group-2,69,79,148
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-44-33_ppo-3-15-group-0-59-group-1,80,68,148
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4,69,79,148
