episode,episode_length,episode_reward,learning_rate
340,7,1.0,0.0003
341,23,1.0,0.0003
342,7,1.0,0.0003
343,21,1.0,0.0003
344,11,1.0,0.0003
345,24,1.0,0.0003
346,10,1.0,0.0003
347,24,1.0,0.0003
348,10,1.0,0.0003
349,22,1.0,0.0003
350,10,1.0,0.0003
351,21,1.0,0.0003
352,9,1.0,0.0003
353,21,1.0,0.0003
354,9,1.0,0.0003
355,20,1.0,0.0003
356,12,1.0,0.0003
357,23,1.0,0.0003
358,15,1.0,0.0003
359,18,1.0,0.0003
360,10,1.0,0.0003
361,20,1.0,0.0003
362,13,1.0,0.0003
363,24,-1.0,0.0003
364,8,1.0,0.0003
365,24,1.0,0.0003
366,10,1.0,0.0003
367,22,1.0,0.0003
368,9,1.0,0.0003
369,24,1.0,0.0003
370,10,1.0,0.0003
371,24,-1.0,0.0003
372,9,1.0,0.0003
373,24,1.0,0.0003
374,17,-1.0,0.0003
375,21,1.0,0.0003
376,7,1.0,0.0003
377,23,1.0,0.0003
378,9,1.0,0.0003
379,25,-1.0,0.0003
380,9,1.0,0.0003
381,20,1.0,0.0003
382,9,1.0,0.0003
383,23,-1.0,0.0003
384,8,1.0,0.0003
385,25,-1.0,0.0003
386,10,1.0,0.0003
387,17,1.0,0.0003
388,9,1.0,0.0003
389,22,1.0,0.0003
390,9,1.0,0.0003
391,24,1.0,0.0003
392,10,1.0,0.0003
393,25,-1.0,0.0003
394,7,1.0,0.0003
395,23,1.0,0.0003
396,13,1.0,0.0003
397,24,1.0,0.0003
398,12,1.0,0.0003
399,24,1.0,0.0003
400,9,1.0,0.0003
401,23,1.0,0.0003
402,9,1.0,0.0003
403,23,1.0,0.0003
404,11,1.0,0.0003
405,24,1.0,0.0003
406,8,1.0,0.0003
407,22,1.0,0.0003
408,7,1.0,0.0003
409,25,-1.0,0.0003
410,9,1.0,0.0003
411,21,1.0,0.0003
412,9,1.0,0.0003
413,23,1.0,0.0003
414,8,1.0,0.0003
415,20,-1.0,0.0003
416,22,-1.0,0.0003
417,21,1.0,0.0003
418,10,1.0,0.0003
419,21,1.0,0.0003
420,8,1.0,0.0003
421,19,1.0,0.0003
422,13,1.0,0.0003
423,23,1.0,0.0003
424,9,1.0,0.0003
425,20,1.0,0.0003
426,10,1.0,0.0003
427,23,1.0,0.0003
428,8,1.0,0.0003
429,20,1.0,0.0003
430,7,1.0,0.0003
431,16,1.0,0.0003
432,13,1.0,0.0003
433,25,-1.0,0.0003
434,12,-1.0,0.0003
435,18,1.0,0.0003
436,8,1.0,0.0003
437,22,-1.0,0.0003
438,10,1.0,0.0003
439,22,1.0,0.0003
440,9,1.0,0.0003
441,18,1.0,0.0003
442,11,1.0,0.0003
443,25,-1.0,0.0003
444,9,1.0,0.0003
445,22,1.0,0.0003
446,7,1.0,0.0003
447,16,1.0,0.0003
448,8,1.0,0.0003
449,24,1.0,0.0003
450,8,1.0,0.0003
451,19,1.0,0.0003
452,7,1.0,0.0003
453,25,-1.0,0.0003
454,8,1.0,0.0003
455,22,1.0,0.0003
456,10,1.0,0.0003
457,22,-1.0,0.0003
458,11,1.0,0.0003
459,23,1.0,0.0003
460,9,1.0,0.0003
461,24,1.0,0.0003
462,8,1.0,0.0003
463,24,1.0,0.0003
464,12,1.0,0.0003
465,25,-1.0,0.0003
466,10,1.0,0.0003
467,23,1.0,0.0003
468,10,1.0,0.0003
469,25,-1.0,0.0003
470,10,1.0,0.0003
471,22,1.0,0.0003
472,7,1.0,0.0003
473,18,1.0,0.0003
474,9,1.0,0.0003
475,18,1.0,0.0003
476,11,1.0,0.0003
477,25,-1.0,0.0003
478,9,1.0,0.0003
479,23,1.0,0.0003
480,8,1.0,0.0003
481,23,1.0,0.0003
482,7,1.0,0.0003
483,23,1.0,0.0003
484,10,1.0,0.0003
485,22,1.0,0.0003
486,10,1.0,0.0003
487,25,-1.0,0.0003
488,13,1.0,0.0003
489,21,1.0,0.0003
490,15,1.0,0.0003
491,24,1.0,0.0003
492,7,1.0,0.0003
493,25,-1.0,0.0003
494,9,1.0,0.0003
495,22,1.0,0.0003
496,9,1.0,0.0003
497,20,1.0,0.0003
498,7,1.0,0.0003
499,22,-1.0,0.0003
500,8,1.0,0.0003
501,24,1.0,0.0003
502,8,1.0,0.0003
503,24,-1.0,0.0003
504,9,1.0,0.0003
505,21,1.0,0.0003
506,10,1.0,0.0003
507,23,1.0,0.0003
508,13,1.0,0.0003
509,25,-1.0,0.0003
510,9,1.0,0.0003
511,20,1.0,0.0003
512,8,1.0,0.0003
513,24,-1.0,0.0003
514,9,1.0,0.0003
515,24,-1.0,0.0003
516,8,1.0,0.0003
517,18,1.0,0.0003
518,9,1.0,0.0003
519,17,1.0,0.0003
520,14,1.0,0.0003
521,24,-1.0,0.0003
522,18,-1.0,0.0003
523,23,1.0,0.0003
524,12,1.0,0.0003
525,23,1.0,0.0003
526,8,1.0,0.0003
527,25,-1.0,0.0003
